CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,Lot amount,Output plan
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-I,4,4264
A-DATA,STBGA252C4V,252X2GJ006,AGJ252X20003A,TB-IP,1,1041
AKM,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,4,12115
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-I,8,128000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-P,12,191518
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-R,9,144000
AP Memory,DFN-08YM2G,008YMQW005,AQW008YM2003A,TB-U,45,720000
CHIPLUS,MBGA48A2L,048MAHD001,AHD048MA4002A,TA,19,73426
CYPRESS,TSOP2-54CMES,054TSCS005,ACS054TS1012A,TA-2,8,6016
CYPRESS,TSOP2-54CMES,054TSCS017,ACS054TS1009A,TA-2,2,2014
ChipMOS,DFN-08Y62D,008Y6AW028,AAW008Y62014A,TB-P,1,168
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-R,3,431
ChipMOS,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,5,282
ChipMOS,DFN-08YD2A,008YDVG006,ABU008YD2004A,TB-U,1,24
ChipMOS,DFN-08YD2A,008YDVG007,ABU008YD2003A,TB-U,1,19
ChipMOS,DFN-08YD2A,008YDVG008,ABU008YD2006A,TB-P,1,4
ChipMOS,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,1,10
ChipMOS,DFN-08YM2D,008YMAB046,AAB008YM2018A,TB-P,3,1244
ChipMOS,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,4,1147
ChipMOS,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-IP,1,269
ChipMOS,DFN-08YM2D,008YMAB051,AAB008YM2019A,TB-P,1,193
ChipMOS,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-U,1,181
ChipMOS,DFN-08YM2D,008YMAB068,AAB008YM2018A,TB-P,1,450
ChipMOS,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,3,255
ChipMOS,DFN-08YQ2A,008YQAB072,AAB008YQ2022A,TB-P,3,90
ChipMOS,DFN-08YQ2A,008YQAB078,AAB008YQ2032A,TB-P,5,120
ChipMOS,DFN-08YQ2A,008YQVG006,ABU008YQ2002A,TB-U,1,40
ChipMOS,DFN-08YQ2A,008YQVG013,ABU008YQ2006A,TB-U,1,14
ChipMOS,DFN-08YQ2A,008YQVG014,ABU008YQ2018A,TB-U,1,12
ChipMOS,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,3,850
ChipMOS,QFN-36AB1,036ABBW009,ABW036AB1004A,TB-B,2,200
ChipMOS,TSOP1-48/48M,048TPAW054,AAW048TP1026E,TA,2,82
ChipMOS,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA,1,180
ChipMOS,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA-2,1,64
ChipMOS,TSOP1-48AM,048TWMS080,AMS048TW1065A,TA,1,180
ChipMOS,TSOP2-54ME,054TNAB036,AAB054TN1005A,TA,1,120
ChipMOS,VFBGA90B4L,090NCAB019,AAB090NC4006A,TA,1,20
DIALOG,QFN-20YU2D,020YUNI024,ANI020YU1005C,TB-I,27,308752
EMC,FPSSLGA34VBV,0345JHQ001,AHQ0345J1001A,TB-R,3,13693
EMC,FPSSLGA41FRV,0415LHQ012,AHQ0415L1003B,TB-R,7,6585
EMC,FPSTLGA44tBV,0442JHQ015,AHQ0442J3003A,TB-IP,1,2333
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-I,28,61460
EMC,FPSTLGA44tBV,0442JHQ016,AHQ0442J3003A,TB-R,25,58065
ENG,DFN-08YQ2A,008YQCME30ENG,AAB008YQ2037A,TB-U,2,864
ENG,FPSLGA12f6V,0122ICM019ENG,AHQ0122I1001A,TB-I,1,960
Everspin,STDFN-08YD2E,008YDVE004,AVE008YD2002A,TB-U,8,26295
HOSIN,SSBGA153JAU,153XTSS004,ASS153XT3001A,TA-2,32,29998
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA,13,21819
ICSI,FBGA-78LEA,078EABU001,ABU078EA1001A,TA-2,4,8327
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,20,40203
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-2,3,6895
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-3,2,5240
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,25,116678
ICSI,FBGA-96UEF,096EFBU002,ABU096EF2002A,TA,22,93121
ICSI,MINIBGA48A1,048MABU002,CU048MA2012A,TA,4,15912
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-2,5,15562
ISSI-VG,DFN-08Y62D,008Y6VG005,ABU008Y62001A,TB-U,26,211510
ISSI-VG,DFN-08YD2A,008YDVG003,ABU008YD2008A,TB-U,58,203449
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-I,4,14080
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-P,7,24129
ISSI-VG,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,2,7040
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-P,2,32000
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,27,405629
ISSI-VG,MBGA24J4U,024MAVG011,ABU024MA6010A,TA-2,3,17632
ISSI-VG,STBGA24J4U,024XJVG009,ABU024XJ6003A,TA-3,4,34707
LAPIS,TSOP1-48A2,048TVOK056,AOK048TV1029A,TA-3,5,12800
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,25,149356
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,20,106717
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,62,204329
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA-2,2,7200
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,10,32244
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,16,55949
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-B,1,3580
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-I,9,28309
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-IP,8,28547
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-P,27,88219
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-U,2,7200
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA,14,75333
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA-2,3,16702
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA-3,7,38085
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TB-5B,6,33351
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TB-5P,26,122503
MTI,FBGA-96UEE,096EEMS006,AMS096EE2001A,TA-3,9,37293
MTI,TSOP1-48AM,048TWMS046,AMS048TW1037A,TA,11,21702
MTI,TSOP1-48AM,048TWMS059,AMS048TW1050A,TA,2,3822
MTI,TSOP1-48AM,048TWMS068,AMS048TW1058A,TA,54,114141
MTI,TSOP1-48AM,048TWMS068,AMS048TW1058A,TA-2,33,68071
MTI,TSOP1-48AM,048TWMS075,AMS048TW1060A,TA,8,14371
MTI,TSOP1-48AM,048TWMS080,AMS048TW1065A,TA,32,68201
MXIC,DFN-08Y62D,008Y6AW024,AAW008Y62015A,TB-R,5,25189
MXIC,DFN-08Y62D,008Y6AW028,AAW008Y62014A,TB-P,32,257063
MXIC,DFN-08Y62D,008Y6AW028,AAW008Y62014A,TB-U,21,159055
MXIC,DFN-08YM2D,008YMAW020,AAW008YM2004A,TB-P,12,148667
MXIC,MBGA64J4U,064MRAW029,AAW064MR1009A,TA,19,75053
MXIC,MINIBGA24A4L,024MAAW048,AAW024MA6025A,TA-2,15,106651
MXIC,SSLGA16DOU,016D5AW011,AAW016D53004A,TA-2,50,63048
MXIC,SSLGA16DOU,016D5AW011,AAW016D53004A,TA-5,56,69973
MXIC,SSLGA16DOU,016D5AW011,AAW016D53004A,TB-P,8,9863
MXIC,SSLGA16DOU,016D5AW020,AAW016D53011A,TA-3,2,2454
MXIC,SSLGA16DOU,016D5AW020,AAW016D53011A,TA-5,23,28960
MXIC,TSOP1-48/48M,048TPAW054,AAW048TP1026E,TA,25,43669
MXIC,TSOP1-48/48M,048TPAW054,AAW048TP1026E,TA-2,3,6480
MXIC,TSOP1-48/48M,048TPAW056,AAW048TP1024D,TA,53,112718
MXIC,TSOP1-48/48M,048TPAW056,AAW048TP1024D,TA-2,12,23547
MXIC,TSOP1-48/48M,048TPAW056,AAW048TP1024D,TA-3,12,25920
MXIC,TSOP1-48/48M,048TPAW074,AAW048TP1034C,TA,1,660
MXIC,TSOP1-48/M2,048TPAW086,AAW048TP1041B,TA-2,189,134746
MXIC,TSOP1-48/M2,048TPAW086,AAW048TP1041B,TA-3,85,60531
MXIC,TSOP1-48/M2,048TPAW103,AAW048TP1008B,TA-2,5,3600
MXIC,TSOP1-48/M2,048TPAW103,AAW048TP1008B,TA-3,2,1440
MXIC,TSOP1-48/M2,048TPAW103,AAW048TP1008B,TA-5,210,150732
MXIC,TSOP1-48/M2,048TPAW103,AAW048TP1008B,TB-U,162,113777
PHISON,SSBGA153JAU,153XTNV024,ANV153XT3010A,TA-2,43,39420
PHISON,STBGA169D4V,169XNNV002,ANV169XN6002A,TB-I,12,19669
PHISON,STBGA169D4V,169XNNV002,ANV169XN6002A,TB-U,79,132683
SCS,STBGA200DDP,200KXUL001,AUL200KX1001A,TA-2,3,6517
WINBOND,DFN-08Y62D,008Y6AB024,AAB008Y62010A,TB-I,25,198329
WINBOND,DFN-08Y62D,008Y6AB024,AAB008Y62010A,TB-U,6,49841
WINBOND,DFN-08Y62D,008Y6AB028,AAB008Y62014A,TB-P,3,16660
WINBOND,DFN-08Y62D,008Y6AB028,AAB008Y62014A,TB-R,10,62216
WINBOND,DFN-08YB2G,008YBAB019,AAB008YB2008A,TB-P,3,15282
WINBOND,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-R,15,49284
WINBOND,DFN-08YD2A,008YDAB014,AAB008YD2003A,TB-U,73,249300
WINBOND,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-P,15,231677
WINBOND,DFN-08YM2D,008YMAB047,AAB008YM2025A,TB-U,8,122565
WINBOND,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-IP,2,32000
WINBOND,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-P,7,110029
WINBOND,DFN-08YM2D,008YMAB048,AAB008YM2023A,TB-U,4,64000
WINBOND,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-P,2,32000
WINBOND,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-R,3,48000
WINBOND,DFN-08YM2D,008YMAB062,AAB008YM2023A,TB-U,14,222295
WINBOND,FBGA-84UC2H,084UCAB028,AAB084CC9002A,TB-5P,11,23503
WINBOND,FBGA60UEM2-1,060EMAB004,AAB060EM2001A,TA-2,1,7023
WINBOND,FBGA96UEF3-2,096EFAB009,AAB096EF3001A,TA,4,7268
WINBOND,FBGA96UEL(2),096ELAB015,AAB096EL1002A,TA,18,98057
WINBOND,FBGA96UEL(2),096ELAB016,AAB096EL1003A,TA,13,68001
WINBOND,MBGA24J3U,024MAAB086,AAB024MAA008A,TA,7,41362
WINBOND,STBGA162B4U,162KEAB004,AAB162KE1002A,TA,28,42638
WINBOND,STBGA162B4U,162KEAB011,AAB162KE1006A,TA-2,4,10358
WINBOND,STDFN-08YQ2A,008YQAB085,AAB008YQ2034A,TB-R,10,43200
WINBOND,STDFN-08YQ2A,008YQAB085,AAB008YQ2034A,TB-U,9,38880
WINBOND,STDFN-08YQ2A,008YQAB090,AAB008YQ2039B,TB-R,7,29120
WINBOND,STDFN-08YQ2A,008YQAB090,AAB008YQ2039B,TB-U,22,86461
WINBOND,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA,63,130314
WINBOND,TSOP1-48AM,048TWAB012,AAB048TW2006A,TA-2,31,64125
WINBOND,TSOP1-48AM2,048TWAB019,AAB048TW2009A,TA-2,4,5520
WINBOND,TSOP2-54ME,054TNAB036,AAB054TN1005A,TA,7,20160
WINBOND,TSOP2-54ME,054TNAB037,AAB054TN1004A,TA,8,19524
WINBOND,TSOP2-54ME,054TNAB037,AAB054TN1004A,TA-2,32,89554
WINBOND,TSOP2-54ME,054TNAB041,AAB054TN1005A,TA,17,46459
WINBOND,TSOP2-66ME,066TNAB040,AAB066TN1004A,TB-U,3,6906
WINBOND,VFBGA60B4L,060NRAB001,AB060NR1001A,TA,6,32802
WINBOND,VFBGA60B4L,060NRAB001,AB060NR1001A,TA-3,8,40840
WINBOND,VFBGA60B4L,060NRAB005,AAB060NR1004B,TA,1,5566
WINBOND,VFBGA60B4L,060NRAB005,AAB060NR1004B,TA-2,1,5578
WINBOND,VFBGA90B4L,090NCAB019,AAB090NC4006A,TA,1,3809
ZJP,FBGA-96UEF,096EFYZ001,AYZ096EF2001A,TA,18,81254
,,,,,,
,,,,,2582,8783851
